#;Company;Symbol;Portfolio%;Price;Chg;% Chg
316;Dover Corporation;DOV;0.05%;152.94;0.46;(0.30%)
317;Raymond James Financial, Inc.;RJF;0.05%;111.71;0.70;(0.63%)
318;Entergy Corporation;ETR;0.05%;100.22;0.49;(0.49%)
319;Equity Residential;EQR;0.05%;61.14;0.32;(0.53%)
320;Howmet Aerospace Inc.;HWM;0.05%;53.57;0.10;(0.19%)
321;Molina Healthcare, Inc.;MOH;0.05%;358.38;0.15;(0.04%)
322;International Flavors & Fragrances Inc.;IFF;0.05%;80.70;0.25;(0.31%)
323;Ptc, Inc;PTC;0.05%;173.97;2.78;(1.62%)
324;Builders Firstsource;BLDR;0.05%;0.00;0.00;(0.00%)
325;Fleetcor Technologies, Inc.;FLT;0.05%;277.42;0.39;(0.14%)
326;Teledyne Technologies Incorporated;TDY;0.05%;433.45;7.15;(1.68%)
327;Iron Mountain Inc.;IRM;0.05%;69.37;0.32;(0.46%)
328;Expedia Group, Inc.;EXPE;0.05%;155.31;0.79;(0.51%)
329;Alexandria Real Estate Equities, Inc.;ARE;0.05%;127.75;-1.14;(-0.88%)
330;Darden Restaurants, Inc.;DRI;0.05%;161.84;-0.37;(-0.23%)
331;Invitation Homes Inc.;INVH;0.05%;34.23;0.01;(0.03%)
332;Baxter International Inc.;BAX;0.05%;38.38;-0.53;(-1.36%)
333;Ventas, Inc.;VTR;0.05%;49.90;0.50;(1.01%)
334;Ppl Corporation;PPL;0.05%;26.82;0.43;(1.63%)
335;Garmin Ltd;GRMN;0.05%;128.06;0.64;(0.50%)
336;Genuine Parts Company;GPC;0.05%;138.98;0.51;(0.37%)
337;Targa Resources Corp.;TRGP;0.05%;86.71;-0.40;(-0.46%)
338;Waters Corp;WAT;0.05%;329.74;0.95;(0.29%)
339;Coterra Energy Inc.;CTRA;0.05%;25.78;0.04;(0.16%)
340;Align Technology Inc;ALGN;0.05%;271.87;-2.23;(-0.81%)
341;Firstenergy Corp.;FE;0.05%;36.23;-0.10;(-0.28%)
342;Ameren Corporation;AEE;0.05%;72.07;-0.03;(-0.04%)
343;Nasdaq, Inc.;NDAQ;0.05%;57.04;0.94;(1.68%)
344;Laboratory Corporation of America Holdings;LH;0.05%;224.02;1.87;(0.84%)
345;Netapp, Inc;NTAP;0.05%;89.40;-0.15;(-0.17%)
346;Cboe Global Markets, Inc.;CBOE;0.05%;175.53;-0.58;(-0.33%)
347;Steel Dynamics Inc;STLD;0.05%;121.89;1.70;(1.41%)
348;Walgreens Boots Alliance, Inc;WBA;0.05%;26.22;0.16;(0.61%)
349;Expeditors International of Washington, Inc.;EXPD;0.05%;128.91;2.24;(1.77%)
350;Carnival Corporation;CCL;0.05%;18.93;-0.26;(-1.35%)
351;Verisign Inc;VRSN;0.05%;206.39;1.93;(0.94%)
352;Akamai Technologies Inc;AKAM;0.05%;119.62;0.13;(0.11%)
353;Huntington Bancshares Inc;HBAN;0.05%;12.66;0.02;(0.16%)
354;Centerpoint Energy, Inc.;CNP;0.05%;28.38;0.08;(0.28%)
355;Axon Enterprise, Inc.;AXON;0.05%;259.03;2.19;(0.85%)
356;The Cooper Companies, Inc.;COO;0.05%;373.40;4.94;(1.34%)
357;Veralto Corporation;VLTO;0.04%;81.64;0.52;(0.64%)
358;Regions Financial Corp.;RF;0.04%;19.27;0.13;(0.68%)
359;First Solar, Inc.;FSLR;0.04%;170.39;0.35;(0.21%)
360;Las Vegas Sands Corp.;LVS;0.04%;48.92;0.13;(0.27%)
361;Skyworks Solutions Inc;SWKS;0.04%;112.84;0.66;(0.59%)
362;Ball Corporation;BALL;0.04%;57.20;0.47;(0.83%)
363;Enphase Energy, Inc.;ENPH;0.04%;133.99;0.13;(0.10%)
364;Clorox Company;CLX;0.04%;141.86;0.70;(0.50%)
